Name,Question,Institution,gender,Confidence,Medianconf,Vote,Median,Comment,Topic,Qtext
Kevin O'Rourke,95,Oxford,m,5,8,Agree,Strongly Agree,The average citizen is a fiction so I would like to know more about distributional implications of the charges & whose taxes will be cut.,Congestion Pricing,"In general, using more congestion charges in crowded transportation networks — such as higher tolls during peak travel times in cities, and peak fees for airplane takeoff and landing slots — and using the proceeds to lower other taxes would make citizens on average better off."
Lucrezia Reichlin,95,London Business School,f,5,8,Agree,Strongly Agree,,Congestion Pricing,"In general, using more congestion charges in crowded transportation networks — such as higher tolls during peak travel times in cities, and peak fees for airplane takeoff and landing slots — and using the proceeds to lower other taxes would make citizens on average better off."
Jan Eeckhout,95,University College London,m,10,8,Strongly Agree,Strongly Agree,,Congestion Pricing,"In general, using more congestion charges in crowded transportation networks — such as higher tolls during peak travel times in cities, and peak fees for airplane takeoff and landing slots — and using the proceeds to lower other taxes would make citizens on average better off."
Richard Portes,95,London Business School,m,10,8,Strongly Agree,Strongly Agree,London congestion charge worked - briefly. Just raise it!,Congestion Pricing,"In general, using more congestion charges in crowded transportation networks — such as higher tolls during peak travel times in cities, and peak fees for airplane takeoff and landing slots — and using the proceeds to lower other taxes would make citizens on average better off."
Antoinette Schoar,95,MIT,f,9,8,Strongly Agree,Strongly Agree,,Congestion Pricing,"In general, using more congestion charges in crowded transportation networks — such as higher tolls during peak travel times in cities, and peak fees for airplane takeoff and landing slots — and using the proceeds to lower other taxes would make citizens on average better off."
Francesco Giavazzi,95,Bocconi,m,NA,8,Did Not Answer,Strongly Agree,,Congestion Pricing,"In general, using more congestion charges in crowded transportation networks — such as higher tolls during peak travel times in cities, and peak fees for airplane takeoff and landing slots — and using the proceeds to lower other taxes would make citizens on average better off."
Beatrice Weder di Mauro,95,Gutenberg University Mainz and INSEAD,f,9,8,Strongly Agree,Strongly Agree,,Congestion Pricing,"In general, using more congestion charges in crowded transportation networks — such as higher tolls during peak travel times in cities, and peak fees for airplane takeoff and landing slots — and using the proceeds to lower other taxes would make citizens on average better off."
Richard Baldwin,23,The Graduate Institute Geneva,m,NA,8,Did Not Answer,Strongly Agree,,Congestion Pricing,"In general, using more congestion charges in crowded transportation networks — such as higher tolls during peak travel times in cities, and peak fees for airplane takeoff and landing slots — and using the proceeds to lower other taxes would make citizens on average better off."
Karl Whelan,95,University College Dublin,m,7,8,Agree,Strongly Agree,"If we are going to tax things (and we have to) it's best to tax things that have negative effects such as congestion, alcohol, carbon etc.",Congestion Pricing,"In general, using more congestion charges in crowded transportation networks — such as higher tolls during peak travel times in cities, and peak fees for airplane takeoff and landing slots — and using the proceeds to lower other taxes would make citizens on average better off."
Olivier Blanchard,95,Peterson Institute,m,10,8,Strongly Agree,Strongly Agree,"no brainer for an economist, so long as redistribution implications taken care of.",Congestion Pricing,"In general, using more congestion charges in crowded transportation networks — such as higher tolls during peak travel times in cities, and peak fees for airplane takeoff and landing slots — and using the proceeds to lower other taxes would make citizens on average better off."
Philippe Aghion,46,Harvard,m,NA,8,Did Not Answer,Strongly Agree,,Congestion Pricing,"In general, using more congestion charges in crowded transportation networks — such as higher tolls during peak travel times in cities, and peak fees for airplane takeoff and landing slots — and using the proceeds to lower other taxes would make citizens on average better off."
Martin Hellwig,31,Max Planck Institute for Research on Collective Goods,m,NA,8,Did Not Answer,Strongly Agree,,Congestion Pricing,"In general, using more congestion charges in crowded transportation networks — such as higher tolls during peak travel times in cities, and peak fees for airplane takeoff and landing slots — and using the proceeds to lower other taxes would make citizens on average better off."
Richard William Blundell,95,University College London,m,9,8,Strongly Agree,Strongly Agree,"One of the key negative externalities of private car use in modern cities in congestion. Congestion charging can correct this, e.g. London.",Congestion Pricing,"In general, using more congestion charges in crowded transportation networks — such as higher tolls during peak travel times in cities, and peak fees for airplane takeoff and landing slots — and using the proceeds to lower other taxes would make citizens on average better off."
Luigi Guiso,95,Einaudi Institute for Economics and Finance,m,NA,8,No Opinion,Strongly Agree,,Congestion Pricing,"In general, using more congestion charges in crowded transportation networks — such as higher tolls during peak travel times in cities, and peak fees for airplane takeoff and landing slots — and using the proceeds to lower other taxes would make citizens on average better off."
Fabrizio Zilibotti,95,Yale,m,10,8,Strongly Agree,Strongly Agree,,Congestion Pricing,"In general, using more congestion charges in crowded transportation networks — such as higher tolls during peak travel times in cities, and peak fees for airplane takeoff and landing slots — and using the proceeds to lower other taxes would make citizens on average better off."
Patrick Honohan,95,Trinity College Dublin,m,7,8,Agree,Strongly Agree,Depends on the way in which the taxes are rebated.,Congestion Pricing,"In general, using more congestion charges in crowded transportation networks — such as higher tolls during peak travel times in cities, and peak fees for airplane takeoff and landing slots — and using the proceeds to lower other taxes would make citizens on average better off."
Lubos Pastor,95,Chicago Booth,m,9,8,Strongly Agree,Strongly Agree,,Congestion Pricing,"In general, using more congestion charges in crowded transportation networks — such as higher tolls during peak travel times in cities, and peak fees for airplane takeoff and landing slots — and using the proceeds to lower other taxes would make citizens on average better off."
Hans-Joachim Voth,95,University of Zurich,m,8,8,Agree,Strongly Agree,,Congestion Pricing,"In general, using more congestion charges in crowded transportation networks — such as higher tolls during peak travel times in cities, and peak fees for airplane takeoff and landing slots — and using the proceeds to lower other taxes would make citizens on average better off."
Costas Meghir,95,Yale,m,1,8,Strongly Agree,Strongly Agree,,Congestion Pricing,"In general, using more congestion charges in crowded transportation networks — such as higher tolls during peak travel times in cities, and peak fees for airplane takeoff and landing slots — and using the proceeds to lower other taxes would make citizens on average better off."
Paul De Grauwe,95,LSE,m,8,8,Agree,Strongly Agree,,Congestion Pricing,"In general, using more congestion charges in crowded transportation networks — such as higher tolls during peak travel times in cities, and peak fees for airplane takeoff and landing slots — and using the proceeds to lower other taxes would make citizens on average better off."
Timothy J. Besley,89,LSE,m,8,8,Strongly Agree,Strongly Agree,"Congestion is a huge economic problem, especially in parts of the UK (such as London) which can be mitigated with more congestion charging.",Congestion Pricing,"In general, using more congestion charges in crowded transportation networks — such as higher tolls during peak travel times in cities, and peak fees for airplane takeoff and landing slots — and using the proceeds to lower other taxes would make citizens on average better off."
Per Krusell,77,Stockholm University,m,8,8,Strongly Agree,Strongly Agree,this approach works in theory and seems to also work in practice,Congestion Pricing,"In general, using more congestion charges in crowded transportation networks — such as higher tolls during peak travel times in cities, and peak fees for airplane takeoff and landing slots — and using the proceeds to lower other taxes would make citizens on average better off."
Hélène Rey,95,London Business School,f,6,8,Agree,Strongly Agree,,Congestion Pricing,"In general, using more congestion charges in crowded transportation networks — such as higher tolls during peak travel times in cities, and peak fees for airplane takeoff and landing slots — and using the proceeds to lower other taxes would make citizens on average better off."
Christopher Pissarides,95,LSE,m,10,8,Strongly Agree,Strongly Agree,Congestion has negative externalities and the policy described compensates citizens for their costs,Congestion Pricing,"In general, using more congestion charges in crowded transportation networks — such as higher tolls during peak travel times in cities, and peak fees for airplane takeoff and landing slots — and using the proceeds to lower other taxes would make citizens on average better off."
Peter Neary,95,Oxford,m,10,8,Strongly Agree,Strongly Agree,"Travelling on congested roads, no matter how desirable to the individual, imposes costs on other users which governments should internalise",Congestion Pricing,"In general, using more congestion charges in crowded transportation networks — such as higher tolls during peak travel times in cities, and peak fees for airplane takeoff and landing slots — and using the proceeds to lower other taxes would make citizens on average better off."
Henrik Kleven,89,Princeton,m,9,8,Strongly Agree,Strongly Agree,,Congestion Pricing,"In general, using more congestion charges in crowded transportation networks — such as higher tolls during peak travel times in cities, and peak fees for airplane takeoff and landing slots — and using the proceeds to lower other taxes would make citizens on average better off."
Pol Antras,95,Harvard,m,9,8,Strongly Agree,Strongly Agree,,Congestion Pricing,"In general, using more congestion charges in crowded transportation networks — such as higher tolls during peak travel times in cities, and peak fees for airplane takeoff and landing slots — and using the proceeds to lower other taxes would make citizens on average better off."
Elena Carletti,95,Bocconi,f,2,8,Agree,Strongly Agree,"I am not familiar with this topic, and I am not sure about the feasibility of the idea",Congestion Pricing,"In general, using more congestion charges in crowded transportation networks — such as higher tolls during peak travel times in cities, and peak fees for airplane takeoff and landing slots — and using the proceeds to lower other taxes would make citizens on average better off."
John Vickers,95,Oxford,m,8,8,Agree,Strongly Agree,Curbing externalities while raising revenue is doubly good. But charging system may itself have cost.,Congestion Pricing,"In general, using more congestion charges in crowded transportation networks — such as higher tolls during peak travel times in cities, and peak fees for airplane takeoff and landing slots — and using the proceeds to lower other taxes would make citizens on average better off."
Marco Pagano,95,Università di Napoli Federico II,m,4,8,Agree,Strongly Agree,"It is surely efficient, although it may also generate redistribution effects.",Congestion Pricing,"In general, using more congestion charges in crowded transportation networks — such as higher tolls during peak travel times in cities, and peak fees for airplane takeoff and landing slots — and using the proceeds to lower other taxes would make citizens on average better off."
Christian Leuz,95,Chicago Booth,m,6,8,Agree,Strongly Agree,"Congestion pricing is like pricing externalities. But welfare effects are not entirely obvious.
-see background information here",Congestion Pricing,"In general, using more congestion charges in crowded transportation networks — such as higher tolls during peak travel times in cities, and peak fees for airplane takeoff and landing slots — and using the proceeds to lower other taxes would make citizens on average better off."
Jean-Pierre Danthine,95,Paris School of Economics,m,10,8,Strongly Agree,Strongly Agree,,Congestion Pricing,"In general, using more congestion charges in crowded transportation networks — such as higher tolls during peak travel times in cities, and peak fees for airplane takeoff and landing slots — and using the proceeds to lower other taxes would make citizens on average better off."
Veronica Guerrieri,95,Chicago Booth,f,7,8,Agree,Strongly Agree,,Congestion Pricing,"In general, using more congestion charges in crowded transportation networks — such as higher tolls during peak travel times in cities, and peak fees for airplane takeoff and landing slots — and using the proceeds to lower other taxes would make citizens on average better off."
Jordi Galí,95,Universitat Pompeu Fabra,m,8,8,Agree,Strongly Agree,Efficient allocation of a scarce resource to those who value it more.,Congestion Pricing,"In general, using more congestion charges in crowded transportation networks — such as higher tolls during peak travel times in cities, and peak fees for airplane takeoff and landing slots — and using the proceeds to lower other taxes would make citizens on average better off."
Nicholas Bloom,95,Stanford,m,10,8,Strongly Agree,Strongly Agree,,Congestion Pricing,"In general, using more congestion charges in crowded transportation networks — such as higher tolls during peak travel times in cities, and peak fees for airplane takeoff and landing slots — and using the proceeds to lower other taxes would make citizens on average better off."
Canice Prendergast,95,Chicago Booth,m,8,8,Strongly Agree,Strongly Agree,,Congestion Pricing,"In general, using more congestion charges in crowded transportation networks — such as higher tolls during peak travel times in cities, and peak fees for airplane takeoff and landing slots — and using the proceeds to lower other taxes would make citizens on average better off."
Torsten Persson,95,Stockholm University,m,7,8,Strongly Agree,Strongly Agree,"Peak-load congestion charges have signficantly lowered traffic in Stockholm, London and other European cities.",Congestion Pricing,"In general, using more congestion charges in crowded transportation networks — such as higher tolls during peak travel times in cities, and peak fees for airplane takeoff and landing slots — and using the proceeds to lower other taxes would make citizens on average better off."
Botond Kőszegi,95,Central European University,m,10,8,Strongly Agree,Strongly Agree,This is a typical externality.,Congestion Pricing,"In general, using more congestion charges in crowded transportation networks — such as higher tolls during peak travel times in cities, and peak fees for airplane takeoff and landing slots — and using the proceeds to lower other taxes would make citizens on average better off."
Agnès Bénassy-Quéré,95,Paris School of Economics,f,6,8,Uncertain,Strongly Agree,The citizens would likely be better off if the congestion charges were used to invest in public transportation.,Congestion Pricing,"In general, using more congestion charges in crowded transportation networks — such as higher tolls during peak travel times in cities, and peak fees for airplane takeoff and landing slots — and using the proceeds to lower other taxes would make citizens on average better off."
Ernst Fehr,95,Universität Zurich,m,7,8,Agree,Strongly Agree,,Congestion Pricing,"In general, using more congestion charges in crowded transportation networks — such as higher tolls during peak travel times in cities, and peak fees for airplane takeoff and landing slots — and using the proceeds to lower other taxes would make citizens on average better off."
Charles Wyplosz,95,The Graduate Institute Geneva,m,10,8,Strongly Agree,Strongly Agree,"""On average"" is crucial because these measures have income redistribution effects that hurt some and benefit others.",Congestion Pricing,"In general, using more congestion charges in crowded transportation networks — such as higher tolls during peak travel times in cities, and peak fees for airplane takeoff and landing slots — and using the proceeds to lower other taxes would make citizens on average better off."
Franklin Allen,95,Imperial College London,m,7,8,Agree,Strongly Agree,These kinds of taxes are beneficial in my view provided the technology for implementing them is sufficiently low cost.,Congestion Pricing,"In general, using more congestion charges in crowded transportation networks — such as higher tolls during peak travel times in cities, and peak fees for airplane takeoff and landing slots — and using the proceeds to lower other taxes would make citizens on average better off."
Luis Garicano,74,LSE,m,NA,8,Did Not Answer,Strongly Agree,,Congestion Pricing,"In general, using more congestion charges in crowded transportation networks — such as higher tolls during peak travel times in cities, and peak fees for airplane takeoff and landing slots — and using the proceeds to lower other taxes would make citizens on average better off."
John Van Reenen,95,MIT,m,9,8,Strongly Agree,Strongly Agree,The most efficient way to make use of congested resources. Just lacks political will,Congestion Pricing,"In general, using more congestion charges in crowded transportation networks — such as higher tolls during peak travel times in cities, and peak fees for airplane takeoff and landing slots — and using the proceeds to lower other taxes would make citizens on average better off."
Xavier Freixas,95,Universitat Pompeu Fabra,m,8,8,Strongly Agree,Strongly Agree,Basic microeconomic theory of internalizing externalities (Pigouvian tax),Congestion Pricing,"In general, using more congestion charges in crowded transportation networks — such as higher tolls during peak travel times in cities, and peak fees for airplane takeoff and landing slots — and using the proceeds to lower other taxes would make citizens on average better off."
Karl Whelan,72,University College Dublin,m,NA,8,Did Not Answer,Agree,,Behavioral Economics,"Insights from psychology about individual behavior – examples of which include limited rationality, low self-control, or a taste for fairness – predict several important types of observed market outcomes that fully-rational economic models do not."
Olivier Blanchard,72,Peterson Institute,m,10,8,Strongly Agree,Agree,,Behavioral Economics,"Insights from psychology about individual behavior – examples of which include limited rationality, low self-control, or a taste for fairness – predict several important types of observed market outcomes that fully-rational economic models do not."
Philippe Aghion,23,Harvard,m,NA,8,Did Not Answer,Agree,,Behavioral Economics,"Insights from psychology about individual behavior – examples of which include limited rationality, low self-control, or a taste for fairness – predict several important types of observed market outcomes that fully-rational economic models do not."
Richard William Blundell,72,University College London,m,NA,8,Did Not Answer,Agree,,Behavioral Economics,"Insights from psychology about individual behavior – examples of which include limited rationality, low self-control, or a taste for fairness – predict several important types of observed market outcomes that fully-rational economic models do not."
Hans-Joachim Voth,72,University of Zurich,m,9,8,Strongly Agree,Agree,,Behavioral Economics,"Insights from psychology about individual behavior – examples of which include limited rationality, low self-control, or a taste for fairness – predict several important types of observed market outcomes that fully-rational economic models do not."
Fabrizio Zilibotti,72,Yale,m,5,8,Uncertain,Agree,,Behavioral Economics,"Insights from psychology about individual behavior – examples of which include limited rationality, low self-control, or a taste for fairness – predict several important types of observed market outcomes that fully-rational economic models do not."
Richard Portes,72,London Business School,m,7,8,Strongly Agree,Agree,See many Thaler ‘anomalies’ columns over the years.,Behavioral Economics,"Insights from psychology about individual behavior – examples of which include limited rationality, low self-control, or a taste for fairness – predict several important types of observed market outcomes that fully-rational economic models do not."
Pol Antras,72,Harvard,m,8,8,Agree,Agree,"Still, models with fully rational agents provide a perfectly good approximation for explaining many market outcomes!",Behavioral Economics,"Insights from psychology about individual behavior – examples of which include limited rationality, low self-control, or a taste for fairness – predict several important types of observed market outcomes that fully-rational economic models do not."
Rafael Repullo,72,CEMFI,m,7,8,Agree,Agree,"Still, as forcefully argued by Steve Ross, fully-rational economic models can go a long way to explain many of these market outcomes.",Behavioral Economics,"Insights from psychology about individual behavior – examples of which include limited rationality, low self-control, or a taste for fairness – predict several important types of observed market outcomes that fully-rational economic models do not."
Ernst Fehr,72,Universität Zurich,m,NA,8,Did Not Answer,Agree,,Behavioral Economics,"Insights from psychology about individual behavior – examples of which include limited rationality, low self-control, or a taste for fairness – predict several important types of observed market outcomes that fully-rational economic models do not."
Timothy J. Besley,66,LSE,m,NA,8,Did Not Answer,Agree,,Behavioral Economics,"Insights from psychology about individual behavior – examples of which include limited rationality, low self-control, or a taste for fairness – predict several important types of observed market outcomes that fully-rational economic models do not."
Marco Pagano,72,Università di Napoli Federico II,m,4,8,Agree,Agree,,Behavioral Economics,"Insights from psychology about individual behavior – examples of which include limited rationality, low self-control, or a taste for fairness – predict several important types of observed market outcomes that fully-rational economic models do not."
Christopher Pissarides,72,LSE,m,NA,8,Did Not Answer,Agree,,Behavioral Economics,"Insights from psychology about individual behavior – examples of which include limited rationality, low self-control, or a taste for fairness – predict several important types of observed market outcomes that fully-rational economic models do not."
Elena Carletti,72,Bocconi,f,NA,8,No Opinion,Agree,,Behavioral Economics,"Insights from psychology about individual behavior – examples of which include limited rationality, low self-control, or a taste for fairness – predict several important types of observed market outcomes that fully-rational economic models do not."
Agnès Bénassy-Quéré,72,Paris School of Economics,f,5,8,Agree,Agree,,Behavioral Economics,"Insights from psychology about individual behavior – examples of which include limited rationality, low self-control, or a taste for fairness – predict several important types of observed market outcomes that fully-rational economic models do not."
Henrik Kleven,66,Princeton,m,NA,8,Did Not Answer,Agree,,Behavioral Economics,"Insights from psychology about individual behavior – examples of which include limited rationality, low self-control, or a taste for fairness – predict several important types of observed market outcomes that fully-rational economic models do not."
Christian Leuz,72,Chicago Booth,m,3,8,Agree,Agree,"Tend to agree, but depends on setting & details. Often traditional models can be extended to explain as well. Point is not always to predict",Behavioral Economics,"Insights from psychology about individual behavior – examples of which include limited rationality, low self-control, or a taste for fairness – predict several important types of observed market outcomes that fully-rational economic models do not."
John Vickers,72,Oxford,m,5,8,Agree,Agree,,Behavioral Economics,"Insights from psychology about individual behavior – examples of which include limited rationality, low self-control, or a taste for fairness – predict several important types of observed market outcomes that fully-rational economic models do not."
Jan Eeckhout,72,University College London,m,6,8,Agree,Agree,,Behavioral Economics,"Insights from psychology about individual behavior – examples of which include limited rationality, low self-control, or a taste for fairness – predict several important types of observed market outcomes that fully-rational economic models do not."
Xavier Freixas,72,Universitat Pompeu Fabra,m,NA,8,Did Not Answer,Agree,,Behavioral Economics,"Insights from psychology about individual behavior – examples of which include limited rationality, low self-control, or a taste for fairness – predict several important types of observed market outcomes that fully-rational economic models do not."
Patrick Honohan,72,Trinity College Dublin,m,9,8,Strongly Agree,Agree,,Behavioral Economics,"Insights from psychology about individual behavior – examples of which include limited rationality, low self-control, or a taste for fairness – predict several important types of observed market outcomes that fully-rational economic models do not."
Nicholas Bloom,72,Stanford,m,7,8,Agree,Agree,,Behavioral Economics,"Insights from psychology about individual behavior – examples of which include limited rationality, low self-control, or a taste for fairness – predict several important types of observed market outcomes that fully-rational economic models do not."
Eliana La Ferrara,72,Bocconi,f,8,8,Strongly Agree,Agree,,Behavioral Economics,"Insights from psychology about individual behavior – examples of which include limited rationality, low self-control, or a taste for fairness – predict several important types of observed market outcomes that fully-rational economic models do not."
Veronica Guerrieri,72,Chicago Booth,f,7,8,Agree,Agree,,Behavioral Economics,"Insights from psychology about individual behavior – examples of which include limited rationality, low self-control, or a taste for fairness – predict several important types of observed market outcomes that fully-rational economic models do not."
Lucrezia Reichlin,72,London Business School,f,3,8,Agree,Agree,,Behavioral Economics,"Insights from psychology about individual behavior – examples of which include limited rationality, low self-control, or a taste for fairness – predict several important types of observed market outcomes that fully-rational economic models do not."
Antoinette Schoar,72,MIT,f,9,8,Strongly Agree,Agree,,Behavioral Economics,"Insights from psychology about individual behavior – examples of which include limited rationality, low self-control, or a taste for fairness – predict several important types of observed market outcomes that fully-rational economic models do not."
Kevin O'Rourke,72,Oxford,m,10,8,Strongly Agree,Agree,,Behavioral Economics,"Insights from psychology about individual behavior – examples of which include limited rationality, low self-control, or a taste for fairness – predict several important types of observed market outcomes that fully-rational economic models do not."
Rachel Griffith,72,University of Manchester,f,NA,8,Did Not Answer,Agree,,Behavioral Economics,"Insights from psychology about individual behavior – examples of which include limited rationality, low self-control, or a taste for fairness – predict several important types of observed market outcomes that fully-rational economic models do not."
Per Krusell,54,Stockholm University,m,8,8,Agree,Agree,,Behavioral Economics,"Insights from psychology about individual behavior – examples of which include limited rationality, low self-control, or a taste for fairness – predict several important types of observed market outcomes that fully-rational economic models do not."
Luigi Guiso,72,Einaudi Institute for Economics and Finance,m,8,8,Uncertain,Agree,,Behavioral Economics,"Insights from psychology about individual behavior – examples of which include limited rationality, low self-control, or a taste for fairness – predict several important types of observed market outcomes that fully-rational economic models do not."
Jordi Galí,72,Universitat Pompeu Fabra,m,6,8,Agree,Agree,,Behavioral Economics,"Insights from psychology about individual behavior – examples of which include limited rationality, low self-control, or a taste for fairness – predict several important types of observed market outcomes that fully-rational economic models do not."
Charles Wyplosz,72,The Graduate Institute Geneva,m,NA,8,No Opinion,Agree,I don't know enough,Behavioral Economics,"Insights from psychology about individual behavior – examples of which include limited rationality, low self-control, or a taste for fairness – predict several important types of observed market outcomes that fully-rational economic models do not."
Luis Garicano,51,LSE,m,NA,8,Did Not Answer,Agree,,Behavioral Economics,"Insights from psychology about individual behavior – examples of which include limited rationality, low self-control, or a taste for fairness – predict several important types of observed market outcomes that fully-rational economic models do not."
Hélène Rey,72,London Business School,f,NA,8,Did Not Answer,Agree,,Behavioral Economics,"Insights from psychology about individual behavior – examples of which include limited rationality, low self-control, or a taste for fairness – predict several important types of observed market outcomes that fully-rational economic models do not."
Jan Pieter Krahnen,72,Goethe University Frankfurt,m,5,8,Uncertain,Agree,"while I see the impact of nudging on macro outcomes (e.g. pension fund participation), I am uncertain whether this is due to irrationality.",Behavioral Economics,"Insights from psychology about individual behavior – examples of which include limited rationality, low self-control, or a taste for fairness – predict several important types of observed market outcomes that fully-rational economic models do not."
Lubos Pastor,72,Chicago Booth,m,7,8,Uncertain,Agree,Psychology can be useful but most puzzling phenomena can also be explained by rational models. What you mean by rationality matters.,Behavioral Economics,"Insights from psychology about individual behavior – examples of which include limited rationality, low self-control, or a taste for fairness – predict several important types of observed market outcomes that fully-rational economic models do not."
Nicola Fuchs-Schündeln,72,Goethe-Universität Frankfurt,f,9,8,Agree,Agree,,Behavioral Economics,"Insights from psychology about individual behavior – examples of which include limited rationality, low self-control, or a taste for fairness – predict several important types of observed market outcomes that fully-rational economic models do not."
Francesco Giavazzi,72,Bocconi,m,NA,8,Did Not Answer,Agree,,Behavioral Economics,"Insights from psychology about individual behavior – examples of which include limited rationality, low self-control, or a taste for fairness – predict several important types of observed market outcomes that fully-rational economic models do not."
Botond Kőszegi,72,Central European University,m,10,8,Strongly Agree,Agree,,Behavioral Economics,"Insights from psychology about individual behavior – examples of which include limited rationality, low self-control, or a taste for fairness – predict several important types of observed market outcomes that fully-rational economic models do not."
Torsten Persson,72,Stockholm University,m,9,8,Agree,Agree,,Behavioral Economics,"Insights from psychology about individual behavior – examples of which include limited rationality, low self-control, or a taste for fairness – predict several important types of observed market outcomes that fully-rational economic models do not."
Canice Prendergast,72,Chicago Booth,m,8,8,Agree,Agree,,Behavioral Economics,"Insights from psychology about individual behavior – examples of which include limited rationality, low self-control, or a taste for fairness – predict several important types of observed market outcomes that fully-rational economic models do not."
Costas Meghir,72,Yale,m,NA,8,Did Not Answer,Agree,,Behavioral Economics,"Insights from psychology about individual behavior – examples of which include limited rationality, low self-control, or a taste for fairness – predict several important types of observed market outcomes that fully-rational economic models do not."
Franklin Allen,72,Imperial College London,m,8,8,Strongly Agree,Agree,I think this is true in many markets. In financial markets it may be less true because of the money at stake but they matter there too.,Behavioral Economics,"Insights from psychology about individual behavior – examples of which include limited rationality, low self-control, or a taste for fairness – predict several important types of observed market outcomes that fully-rational economic models do not."
Jean-Pierre Danthine,72,Paris School of Economics,m,3,8,Agree,Agree,,Behavioral Economics,"Insights from psychology about individual behavior – examples of which include limited rationality, low self-control, or a taste for fairness – predict several important types of observed market outcomes that fully-rational economic models do not."
Beatrice Weder di Mauro,72,Gutenberg University Mainz and INSEAD,f,NA,8,Did Not Answer,Agree,,Behavioral Economics,"Insights from psychology about individual behavior – examples of which include limited rationality, low self-control, or a taste for fairness – predict several important types of observed market outcomes that fully-rational economic models do not."
Peter Neary,72,Oxford,m,NA,8,Did Not Answer,Agree,,Behavioral Economics,"Insights from psychology about individual behavior – examples of which include limited rationality, low self-control, or a taste for fairness – predict several important types of observed market outcomes that fully-rational economic models do not."
Martin Hellwig,8,Max Planck Institute for Research on Collective Goods,m,NA,8,No Opinion,Agree,"Is ""fully rational"" about optimization or about expectations? Is ""market outcomes"" about anything in the real world or about markets?",Behavioral Economics,"Insights from psychology about individual behavior – examples of which include limited rationality, low self-control, or a taste for fairness – predict several important types of observed market outcomes that fully-rational economic models do not."
Paul De Grauwe,72,LSE,m,NA,8,Did Not Answer,Agree,,Behavioral Economics,"Insights from psychology about individual behavior – examples of which include limited rationality, low self-control, or a taste for fairness – predict several important types of observed market outcomes that fully-rational economic models do not."
John Van Reenen,72,MIT,m,8,8,Agree,Agree,,Behavioral Economics,"Insights from psychology about individual behavior – examples of which include limited rationality, low self-control, or a taste for fairness – predict several important types of observed market outcomes that fully-rational economic models do not."
Richard Portes,27,London Business School,m,5,5,Disagree,Disagree,,European Infrastructure and Chinese Firms,"On bids for infrastructure projects, the average European would be better off if Europe’s governments favored European firms over Chinese firms (or firms from any other country with non-profit-related geopolitical strategies) — even if it means sometimes choosing a higher-cost bidder."
Luis Garicano,6,LSE,m,NA,5,Did Not Answer,Disagree,,European Infrastructure and Chinese Firms,"On bids for infrastructure projects, the average European would be better off if Europe’s governments favored European firms over Chinese firms (or firms from any other country with non-profit-related geopolitical strategies) — even if it means sometimes choosing a higher-cost bidder."
Elena Carletti,27,Bocconi,f,NA,5,No Opinion,Disagree,,European Infrastructure and Chinese Firms,"On bids for infrastructure projects, the average European would be better off if Europe’s governments favored European firms over Chinese firms (or firms from any other country with non-profit-related geopolitical strategies) — even if it means sometimes choosing a higher-cost bidder."
Botond Kőszegi,27,Central European University,m,4,5,Disagree,Disagree,,European Infrastructure and Chinese Firms,"On bids for infrastructure projects, the average European would be better off if Europe’s governments favored European firms over Chinese firms (or firms from any other country with non-profit-related geopolitical strategies) — even if it means sometimes choosing a higher-cost bidder."
Karl Whelan,27,University College Dublin,m,NA,5,Did Not Answer,Disagree,,European Infrastructure and Chinese Firms,"On bids for infrastructure projects, the average European would be better off if Europe’s governments favored European firms over Chinese firms (or firms from any other country with non-profit-related geopolitical strategies) — even if it means sometimes choosing a higher-cost bidder."
Christopher Pissarides,27,LSE,m,NA,5,Did Not Answer,Disagree,,European Infrastructure and Chinese Firms,"On bids for infrastructure projects, the average European would be better off if Europe’s governments favored European firms over Chinese firms (or firms from any other country with non-profit-related geopolitical strategies) — even if it means sometimes choosing a higher-cost bidder."
Jan Pieter Krahnen,27,Goethe University Frankfurt,m,6,5,Disagree,Disagree,"The response to geopolitical interests is a wise strong set of conditionalities if awarded, rather than exclusion from the bidding process.",European Infrastructure and Chinese Firms,"On bids for infrastructure projects, the average European would be better off if Europe’s governments favored European firms over Chinese firms (or firms from any other country with non-profit-related geopolitical strategies) — even if it means sometimes choosing a higher-cost bidder."
Kevin O'Rourke,27,Oxford,m,NA,5,No Opinion,Disagree,,European Infrastructure and Chinese Firms,"On bids for infrastructure projects, the average European would be better off if Europe’s governments favored European firms over Chinese firms (or firms from any other country with non-profit-related geopolitical strategies) — even if it means sometimes choosing a higher-cost bidder."
Fabrizio Zilibotti,27,Yale,m,9,5,Disagree,Disagree,,European Infrastructure and Chinese Firms,"On bids for infrastructure projects, the average European would be better off if Europe’s governments favored European firms over Chinese firms (or firms from any other country with non-profit-related geopolitical strategies) — even if it means sometimes choosing a higher-cost bidder."
Rachel Griffith,27,University of Manchester,f,3,5,Agree,Disagree,,European Infrastructure and Chinese Firms,"On bids for infrastructure projects, the average European would be better off if Europe’s governments favored European firms over Chinese firms (or firms from any other country with non-profit-related geopolitical strategies) — even if it means sometimes choosing a higher-cost bidder."
Jordi Galí,27,Universitat Pompeu Fabra,m,NA,5,No Opinion,Disagree,,European Infrastructure and Chinese Firms,"On bids for infrastructure projects, the average European would be better off if Europe’s governments favored European firms over Chinese firms (or firms from any other country with non-profit-related geopolitical strategies) — even if it means sometimes choosing a higher-cost bidder."
